,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds
20,telco,target2,Contract,0.5944828679055737,"[0.5976937151083769, 0.5834909296916339, 0.5892027678542294, 0.5830080225643862, 0.6190189043092421]",0.5916123681876531,"[0.5932792104333394, 0.594892399699399, 0.5902176170014994, 0.5806518411927502, 0.5990207726112771]",0.5651217821949122,"[0.5720370723177189, 0.5607521503549737, 0.5550583157486527, 0.5549404951494057, 0.5828208774038095]",0.4216373911291537,"[0.44367445007776724, 0.40858652989732097, 0.39588115883626557, 0.4224663124148053, 0.43757850441960927]"
21,paris,target1,category,0.5039340642787652,"[0.4895738259525635, 0.5217502286698857, 0.5069188435603643, 0.5067989399709792, 0.49462848324003295]",0.5083266252035067,"[0.47574772539093557, 0.5467021912892176, 0.5159479659258323, 0.5149369015807532, 0.48829834183079446]",0.4446982143385988,"[0.42368482059481793, 0.4672187109862671, 0.44663729683251097, 0.4495874833851541, 0.43636275989424383]",0.5047761905482434,"[0.4694081175348956, 0.5462523268501482, 0.513428383040672, 0.5123145588809838, 0.48247756643451783]"
22,paris,target3,hasStorageRoom,0.2485,"[0.24925, 0.26025, 0.241, 0.2415, 0.2505]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.3319384839285087,"[0.332665999332666, 0.34232160473528445, 0.3252361673414305, 0.3256911665542818, 0.33377748167888077]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
23,paris,target2,isNewBuilt,0.24955,"[0.25225, 0.24625, 0.24625, 0.253, 0.25]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.33292331192106406,"[0.3353273512794948, 0.32998324958123953, 0.32998324958123953, 0.33598937583001326, 0.3333333333333333]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
24,smoking,target1,smoking,0.7038898769949544,"[0.7026729197525687, 0.7006000428800242, 0.7102920466133285, 0.7051239861452592, 0.7007603895835912]",0.7189338109029192,"[0.7178525586166846, 0.7144606991845364, 0.7255184170471842, 0.7219049010234848, 0.714932478642706]",0.7023591293702014,"[0.7006297978081368, 0.6986431460366063, 0.7084991741816684, 0.703850459121427, 0.7001730697031686]",0.7180694203632632,"[0.7168358321844558, 0.7135497189752884, 0.724443772118727, 0.721058234198019, 0.7144595443398254]"
25,smoking,target3,dental caries,0.39323710049030813,"[0.39310963977106944, 0.39406351700145886, 0.391358024691358, 0.39377104377104377, 0.39388327721661054]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.44023751503201114,"[0.4401583212917007, 0.44075561691979415, 0.4390581717451524, 0.44057261254473534, 0.44064285265867287]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
26,smoking,target2,tartar,0.5460794769707933,"[0.5399647881367401, 0.5493803815021785, 0.5391822967163936, 0.5581885082228355, 0.5436814102758187]",0.5392939658708897,"[0.5337290375675547, 0.5417405290435062, 0.5336279836725867, 0.5496987730166685, 0.5376735060541326]",0.5305596864902281,"[0.5238295906026168, 0.531983530254207, 0.5258487645929402, 0.5420682222236105, 0.5290683247777662]",0.5030681291347829,"[0.4947820131393957, 0.5042674360696346, 0.4975628056860333, 0.514788185643094, 0.5039402051357574]"
27,flight,target1,satisfaction,0.7744028228131723,"[0.7739698362202139, 0.7735937801718926, 0.7752963508772525, 0.7757379972870752, 0.7734161495094276]",0.7790428877742752,"[0.7782996688596706, 0.7783132831099053, 0.7801406289718857, 0.780788989883709, 0.7776718680462047]",0.7720631686957221,"[0.7716923519967425, 0.7707198701487858, 0.7731136745362193, 0.7736708840304449, 0.7711190627664182]",0.7775476030025963,"[0.7768632222456048, 0.7765580065293975, 0.7786991697194705, 0.7793825386216867, 0.7762350778968219]"
28,flight,target3,Class,0.43297082856560776,"[0.43575611244091367, 0.4355564657034819, 0.43442628092004654, 0.42761070508366966, 0.43150457867992714]",0.4667129727810778,"[0.4688425879500479, 0.4689447404973108, 0.4674752063268013, 0.4623254379477335, 0.46597689118349533]",0.4491281973894565,"[0.4515742807010108, 0.45158431123589393, 0.4501861371881353, 0.4442352447741083, 0.44806101304813417]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
29,flight,target2,Customer Type,0.7831116591137273,"[0.7857574611207512, 0.7753554508262326, 0.7911995217958658, 0.7805724094276889, 0.7826734523980974]",0.6692174199428327,"[0.6711409888070197, 0.6629039650607704, 0.6720924995671222, 0.6702927096780251, 0.6696569366012257]",0.7014979511745023,"[0.703812722292495, 0.6941165145841803, 0.7055977820535039, 0.7019726682401604, 0.7019900687021723]",0.6014138613688855,"[0.6042414198171754, 0.5918737346912445, 0.6048981359261737, 0.6038911567709007, 0.6021648596389333]"
